palabra,n
muchacha,17
plata,17
quise,17
socavón,17
valor,17
verde,17
verte,17
besos,16
boliviana,16
bueno,16
calma,16
chupe,16
déjame,16
días,16
encanto,16
encontrar,16
fiesta,16
fuego,16
güay,16
haces,16
infierno,16
lleva,16
mujeres,16
niña,16
nombre,16
pagado,16
partir,16
pensar,16
razón,16
remedio,16
seco,16
tener,16
tome,16
viejo,16
amarte,15
amaré,15
bellos,15
burro,15
cabellos,15
caricias,15
cruel,15
dicho,15
fatal,15
hierba,15
muere,15
pandinita,15
perder,15
poder,15
sincero,15
soledad,15
tren,15
amorosa,14
andrés,14
brinco,14
carnavales,14
conocí,14
corre,14
deja,14
dejes,14
desprecio,14
dueño,14
ferroviaria,14
gozar,14
hacer,14
heridas,14
hija,14
mas,14
miel,14
morenada,14
muchachita,14
papá,14
promesa,14
ra,14
rosita,14
vaya,14
verdad,14
viento,14
visto,14
woh,14
yendo,14
ahí,13
ausente,13
beso,13
busco,13
duele,13
guitarra,13
ilusiones,13
lindo,13
niño,13
noches,13
oruro,13
padecer,13
siento,13
sigo,13
sos,13
soñar,13
tanta,13
tres,13
acaba,12
acabar,12
acabe,12
ausencia,12
banda,12
cara,12
cascaremos,12
cerca,12
corazoncito,12
cualquiera,12
cuerpo,12
dicen,12
déjenme,12
esperaré,12
estrellas,12
k'acha,12
lararay,12
leydi,12
lunareja,12
mentiras,12
motivo,12
munasquetay,12
muriendo,12
ofrezco,12
padre,12
parar,12
pensando,12
pisa,12
pronto,12
recordar,12
risa,12
rojos,12
rosa,12
todas,12
tumba,12
volverás,12
wayayay,12
yungas,12
acaso,11
amada,11
anda,11
andar,11
andas,11
aún,11
basta,11
cama,11
camba,11
cantan,11
ciudad,11
cuanto,11
devoción,11
dime,11
enamorado,11
fin,11
haber,11
lloro,11
manos,11
mar,11
mientras,11
mira,11
mismo,11
negras,11
pago,11
pasado,11
reina,11
tantas,11
vacía,11
virgen,11
aguas,10
aguilillo,10
amarnos,10
ambos,10
amorcito,10
arenas,10
años,10
beber,10
besar,10
bola,10
boquita,10
bronce,10
calentarme,10
cambiar,10
canela,10
caray,10
chiquita,10
color,10
dejó,10
dulzura,10
enamorao,10
enamorarme,10
encuentro,10
entrego,10
entregué,10
envidia,10
estrella,10
fría,10
grande,10
guapomó,10
hicimos,10
hierbas,10
hojas,10
juro,10
llaman,10
lloraré,10
lloré,10
lluvia,10
lugar,10
lágrimas,10
machetero,10
mamá,10
mayor,10
mirando,10
nacido,10
niños,10
pagarás,10
par,10
pisaré,10
prohibido,10
raza,10
sabor,10
sangre,10
sauce,10
sed,10
severina,10
señora,10
sombrero,10
traiciones,10
van,10
virginia,10
viviré,10
acordarás,9
alegre,9
aves,9
bandido,9
buscando,9
cada,9
canta,9
charanguito,9
claras,9
daré,9
dejas,9
dicha,9
dulces,9
enamorar,9
enamoré,9
encontré,9
felicidad,9
gente,9
granadita,9
granaditay,9
inolvidable,9
ir,9
jilgueros,9
llena,9
menos,9
mente,9
momentos,9
montañas,9
nomás,9
olvidarme,9
olvidaré,9
olvide,9
perfume,9
rigor,9
rompe,9
soltero,9
trinos,9
verás,9
vuelve,9
vuelves,9
afroboliviana,8
amanecer,8
amazonas,8
ardientes,8
arrepentirás,8
azul,8
bohemio,8
borracho,8
borrar,8
bosques,8
busca,8
canciones,8
cascabeles,8
causa,8
cecilia,8
chapaquita,8
chicas,8
chocolate,8
chuño,8
collita,8
colores,8
compartir,8
coqueta,8
cosa,8
cristal,8
cualquier,8
cumplir,8
danza,8
debajo,8
delante,8
des,8
desventura,8
digo,8
déjate,8
enamore,8
enloquecer,8
entrar,8
entrarme,8
envejecer,8
existe,8
familia,8
final,8
florezca,8
frente,8
hago,8
imillitay,8
importante,8
je,8
jo,8
juego,8
jurado,8
lago,8
lirio,8
llama,8
llanto,8
loco,8
madre,8
mala,8
mamita,8
mano,8
matecito,8
medir,8
mentirosita,8
mil,8
montaña,8
morenas,8
moriré,8
mozos,8
muyuspa,8
niegues,8
odio,8
penar,8
piama,8
poquito,8
proceder,8
promesas,8
puse,8
quererte,8
rato,8
reprocho,8
rojo,8
rosal,8
rosas,8
ríe,8
salir,8
sama,8
santo,8
simpático,8
sinvergüenza,8
sirve,8
tal,8
tape,8
tarde,8
tarija,8
tenerte,8
tomado,8
tradición,8
tristeza,8
tutuma,8
uh,8
valle,8
verdes,8
viejos,8
vámonos,8
waya,8
zapatos,8
zumba,8
acariciar,7
amargo,7
amarme,7
amará,7
amigos,7
amé,7
arbolito,7
atrás,7
ayqiwasay,7
besarte,7
boca,7
caminante,7
casa,7
casado,7
chay,7
chulumani,7
cocani,7
copla,7
cueca,7
cunumi,7
cuánto,7
daría,7
decir,7
decirte,7
dijo,7
dio,7
dónde,7
entera,7
falso,7
gusto,7
hable,7
hacen,7
hey,7
hombre,7
hombres,7
jina,7
juegues,7
jugar,7
juraste,7
mirada,7
paceñita,7
pachamama,7
parte,7
pasar,7
perdón,7
pies,7
playa,7
poncho,7
potosí,7
quería,7
quiera,7
robará,7
sentimiento,7
sola,7
suelo,7
suenan,7
sufras,7
tesorito,7
testigo,7
todavía,7
vale,7
veces,7
vicuña,7
árbol,7
acabó,6
acordará,6
aipota,6
aleje,6
allá,6
alta,6
amaba,6
amado,6
amargura,6
amarillo,6
amistad,6
apirae,6
aprender,6
arena,6
ayayay,6
azucena,6
bailaré,6
bellas,6
bonito,6
brisa,6
broté,6
caben,6
caber,6
cadenas,6
cafetal,6
calmar,6
cambita,6
caminando,6
cantaba,6
cantor,6
casarme,6
cautivas,6
cañaveral,6
cañita,6
celos,6
chapaca,6
chapaco,6
charango,6
comprendes,6
creer,6
cuernos,6
cuesta,6
dan,6
desierto,6
despedida,6
despiadado,6
devolverme,6
difícil,6
distancia,6
déjalo,6
enseñes,6
entregarte,6
escuchó,6
espera,6
eterno,6
harás,6
hechizado,6
herido,6
hermanos,6
horas,6
huellas,6
humo,6
ibañez,6
ilusionarme,6
infinito,6
inmortal,6
inocencia,6
inspiración,6
juré,6
kananpaq,6
lararaylara,6
laylaray,6
lejano,6
levantémonos,6
leña,6
lindas,6
llamerada,6
llamero,6
llega,6
llegaste,6
llevar,6
llevaré,6
lloren,6
lorenzo,6
loy,6
luchar,6
mes,6
mesa,6
miles,6
minuto,6
mires,6
moreno,6
nispa,6
nuevamente,6
ocupar,6
oiga,6
ojalá,6
olvidado,6
olvídame,6
orilla,6
oylo,6
oí,6
paceña,6
pagarán,6
paica,6
palmeras,6
pari,6
pasando,6
pechos,6
pelada,6
perro,6
piedra,6
piensas,6
pinta,6
placer,6
prefiero,6
pretendas,6
pude,6
pudiera,6
querré,6
querés,6
quilla,6
quirquinchito,6
rayuela,6
recordarte,6
resignación,6
ruego,6
sabroso,6
sangra,6
saqer,6
sartasińani,6
sobra,6
soñador,6
sufre,6
terminar,6
ternura,6
tierno,6
toma,6
tono,6
tormento,6
tradicional,6
tranquilízate,6
trates,6
tristezas,6
vacío,6
vales,6
vera,6
verdadero,6
verán,6
ves,6
vieja,6
vive,6
viviendo,6
voluntades,6
volvieras,6
vuelo,6
vuelva,6
wistu,6
yuyarispa,6
abrazarte,5
adoras,5
alegrarán,5
alejaré,5
amando,5
amargados,5
amarse,5
andes,5
ayquiwasay,5
bandida,5
belleza,5
blanco,5
brindo,5
buen,5
calienta,5
campo,5
central,5
chhika,5
consolar,5
corazones,5
cuenta,5
culpable,5
cumpa,5
dado,5
debo,5
derecho,5
diablada,5
diablo,5
diciendo,5
diles,5
déjenla,5
elay,5
enamorada,5
escuelita,5
favor,5
feo,5
festejarán,5
gomal,5
hecha,5
hijo,5
iba,5
idilio,5
ilumine,5
inmensa,5
iré,5
jach'a,5
juntos,5
lindos,5
llevas,5
llorarás,5
llover,5
locura,5
maldita,5
maría,5
matracas,5
mañanas,5
morirá,5
mucha,5
mueve,5
munasqaykimanta,5
nanan,5
nubes,5
oh,5
ojitos,5
oriental,5
ovejera,5
palabras,5
parece,5
paseando,5
pata,5
país,5
pecado,5
piensa,5
profundo,5
pueda,5
puerta,5
puertas,5
rarai,5
rencor,5
rizos,5
sabia,5
sabía,5
secreto,5
seguir,5
sentir,5
silencio,5
solamente,5
sombra,5
sonqoyki,5
sufrimiento,5
tira,5
trasnochador,5
usted,5
vanidad,5
versos,5
voluntad,5
abajo,4
abierto,4
aborreces,4
abrir,4
absoluta,4
acabando,4
acuerda,4
acuerdes,4
acuerdo,4
adelante,4
adoración,4
adorarte,4
adoro,4
afligir,4
agitando,4
aguilita,4
agüita,4
alba,4
alegres,4
alegrías,4
alguna,4
aliento,4
allinta,4
allí,4
altar,4
altiplano,4
alto,4
alzará,4
amabas,4
amancay,4
amancayita,4
amarguras,4
amándote,4
andaluz,4
andares,4
andrésman,4
ansias,4
arde,4
arenal,4
armasimti,4
atarlo,4
aymar,4
bailamos,4
bajo,4
bañado,4
baño,4
besarla,4
besarme,4
bese,4
botas,4
brincar,4
brindas,4
brujita,4
buey,4
caballero,4
cabe,4
cactus,4
cambinga,4
caminos,4
camión,4
cantaré,4
caramba,4
casao,4
casar,4
casita,4
castigas,4
cautiva,4
chacarera,4
chancho,4
chayanteñita,4
chayaré,4
chicle,4
chico,4
chicote,4
china,4
cholero,4
chucuraté,4
chulluchiy,4
cháy,4
clara,4
cochabamba,4
cochabambino,4
comenzar,4
compañerita,4
compré,4
conejo,4
conservo,4
consolarme,4
constante,4
contado,4
contarte,4
contemplando,4
contestan,4
convertido,4
conózcanme,4
coplista,4
correr,4
creí,4
creído,4
cuaderno,4
curará,4
daño,4
dejando,4
dejarme,4
dejaría,4
delirio,4
derretir,4
derrumbará,4
desdenes,4
desvelo,4
dichosa,4
dichoso,4
diera,4
digás,4
dijiste,4
disfrutar,4
divulgues,4
donosa,4
doña,4
duda,4
duerma,4
duramente,4
ebrio,4
echar,4
embrujaste,4
encontrado,4
enseñaste,4
entonces,4
entra,4
entraron,4
escribí,4
escuchame,4
esfumado,4
etaneridad,4
exista,4
existencia,4
extraño,4
extremado,4
falsas,4
falsos,4
falta,4
flojo,4
frágil,4
fuerte,4
ganado,4
gasta,4
golondrinas,4
gotas,4
goza,4
gracia,4
gracias,4
grato,4
grita,4
gritan,4
grupo,4
guajojó,4
guardaré,4
guardemos,4
hallar,4
harán,4
haría,4
haz,4
hechizada,4
herida,4
hermanas,4
hijos,4
hogar,4
hondo,4
horrible,4
huanquipuni,4
huyéndole,4
idas,4
ignacio,4
illimani,4
ima,4
imilla,4
incapaz,4
inmenso,4
instantes,4
interno,4
janarunakasat,4
jilatanak,4
jinachu,4
jiwas,4
juegos,4
jumanpi,4
jumechi,4
juramentos,4
kanki,4
kapuay,4
kawsaypuni,4
kullakitanaka,4
lao,4
layalala,4
layla,4
layra,4
lejanía,4
leyenda,4
libre,4
libro,4
llenar,4
llevame,4
llevando,4
llevarte,4
llorarán,4
llorón,4
loca,4
lucero,4
lucha,4
lujo,4
macho,4
manantial,4
mantener,4
mantilla,4
marcelina,4
markasata,4
mata,4
matarlo,4
matará,4
may,4
mañamuy,4
mejores,4
melodía,4
mentirosos,4
merezco,4
meta,4
miran,4
mirarme,4
mochila,4
monteras,4
moreteado,4
morirme,4
moría,4
mozas,4
muchas,4
muerto,4
multicolores,4
munasqaywan,4
murallas,4
música,4
nacional,4
naciste,4
nací,4
naja,4
naji,4
nariz,4
natal,4
nayampi,4
necesito,4
nicuti,4
nido,4
ninguna,4
ocoró,4
ocupa,4
ofensa,4
ofrecí,4
ofrenda,4
olas,4
olvidas,4
orgulloso,4
paciencia,4
padres,4
paga,4
pagando,4
pagar,4
papa,4
papel,4
parecía,4
parió,4
partida,4
pasajero,4
pasan,4
pasaron,4
pascua,4
pase,4
pasito,4
pasé,4
pauresa,4
pañuelos,4
pensamiento,4
perdición,4
perdida,4
perdonaría,4
piernas,4
pila,4
piraí,4
poderte,4
podido,4
pondrá,4
pongas,4
poopó,4
preciosa,4
pretendes,4
pretendo,4
puedan,4
pueden,4
puestas,4
pura,4
purisqaykipi,4
pusa,4
puñal,4
qanwan,4
quedan,4
quejarme,4
queriendo,4
querías,4
quieran,4
quirquincho,4
quítale,4
raji,4
rancho,4
rayolero,4
rayos,4
rayuelita,4
rebeldía,4
recogerse,4
recuerda,4
refleja,4
regalaré,4
regresarás,4
regreso,4
reliquia,4
resignada,4
respetarte,4
retiras,4
reír,4
rico,4
roba,4
robado,4
roja,4
rubios,4
sabrá,4
sal,4
salud,4
sambita,4
sambitay,4
samirai,4
sanar,4
sangrando,4
saó,4
secretos,4
semilla,4
sentimientos,4
separar,4
separarme,4
siembran,4
siente,4
silbatos,4
sintiendo,4
sirvo,4
sonsa,4
suele,4
sufrido,4
sumaq,4
sunquyuq,4
suplico,4
suspirar,4
sutil,4
sólo,4
tajpachan,4
tambo,4
tei,4
tejoncito,4
temuracanú,4
tendida,4
tendido,4
tenerla,4
terminó,4
tiembla,4
tierna,4
tijerita,4
tinkukunki,4
tiro,4
toco,4
toro,4
toronjil,4
totaí,4
trabajo,4
tragedia,4
traidora,4
trajes,4
trataré,4
trataste,4
trenzas,4
tristes,4
tunante,4
varón,4
vayas,4
ve,4
vencedor,4
vendrán,4
vengas,4
vengo,4
venidas,4
veo,4
viajes,4
vibrar,4
vieran,4
voladora,4
volviste,4
volví,4
vueltas,4
waqashani,4
wawa,4
wayay,4
wayayayay,4
wipalas,4
yaku,4
yakuta,4
yayay,4
zampoñas,4
ñuqanwan,4
abuelos,3
acuerdas,3
adentro,3
adora,3
aire,3
aires,3
alumbra,3
aquella,3
arbol,3
armonía,3
aumenta,3
ayudarme,3
bañada,3
bosque,3
brazo,3
busqué,3
cabello,3
caderas,3
caerás,3
caja,3
cambies,3
cambió,3
caminar,3
cantarito,3
cantará,3
cantemos,3
cerquita,3
chapia,3
cien,3
cinco,3
coca,3
comprender,3
comprenderás,3
conservadores,3
contestaba,3
criado,3
cuan,3
cuevo,3
cuidar,3
cuidarla,3
cullawita,3
cumplió,3
curvas,3
dediqué,3
dejaste,3
descansar,3
desgraciado,3
diamante,3
dinero,3
dormido,3
dudo,3
dulzor,3
embrujó,3
encantó,3
encuentran,3
engaño,3
enseñó,3
ensueños,3
escribió,3
eternamente,3
fea,3
felices,3
fina,3
florecerás,3
florecilla,3
florido,3
fruto,3
fuertes,3
ganas,3
golondrina,3
hablan,3
hablar,3
hagas,3
haremos,3
huella,3
igual,3
indiferentes,3
ingratitud,3
interesa,3
iremos,3
irte,3
jaramillo,3
jaulita,3
jazmín,3
lararalarara,3
limpios,3
llajuas,3
llenaste,3
llevare,3
lloró,3
loi,3
lunares,3
lunita,3
madera,3
malagradecida,3
males,3
matas,3
mencionar,3
mentir,3
misma,3
misterioso,3
modo,3
momento,3
mono,3
mueres,3
musical,3
nació,3
nación,3
naturaleza,3
nuevo,3
olvida,3
ovejerita,3
oye,3
pando,3
papás,3
partido,3
pasiones,3
paso,3
podré,3
podía,3
pollera,3
pollerita,3
pongo,3
primer,3
protegerá,3
píntame,3
quebrado,3
quita,3
quitan,3
quizá,3
quizás,3
recogiendo,3
regreses,3
reir,3
renacer,3
ruedita,3
rumor,3
ríos,3
saben,3
santos,3
seda,3
selva,3
sentí,3
señor,3
siringuero,3
sufriendo,3
suplicarte,3
tampoco,3
tapiosí,3
tardes,3
tesoro,3
toditos,3
traicionado,3
traigo,3
tranquera,3
tutamanta,3
urucú,3
vaivén,3
valiente,3
ventura,3
viernes,3
vieron,3
vivido,3
vivirá,3
volando,3
vuelven,3
abandonado,2
abandonó,2
ablandar,2
abraza,2
abrazado,2
abre,2
abriga,2
abril,2
abrojos,2
acariciaba,2
aceptar,2
acerque,2
achachairú,2
acobardada,2
acompaña,2
acuerde,2
acunaron,2
adios,2
adores,2
adornao,2
adúltero,2
afuera,2
agonía,2
agravios,2
aguafiestas,2
aguanto,2
aguililla,2
agujero,2
aiquileña,2
aiquileñita,2
ajay,2
ajinata,2
alardeando,2
alas,2
alcohol,2
alegrarme,2
alegras,2
alegrémonos,2
alejado,2
alejan,2
alejarme,2
alejarte,2
alguien,2
alicate,2
alivio,2
allin,2
almas,2
altipampa,2
alumbró,2
ama,2
amaban,2
amadores,2
amancaya,2
ame,2
ancas,2
andina,2
angua,2
angustia,2
ansiedad,2
apaga,2
apechugau,2
aprenderé,2
aquellas,2
aqui,2
aquél,2
aquéllos,2
arar,2
arañes,2
arbusto,2
arder,2
ardiente,2
arete,2
aroma,2
arrancan,2
arrastraré,2
arrebol,2
arroyo,2
arrullándome,2
astucia,2
at,2
ausentarse,2
avarientas,2
ave,2
avispa,2
avispero,2
ayúdale,2
babeando,2
bailabas,2
bailemos,2
bajando,2
balcon,2
balcones,2
banquito,2
bautizaron,2
bañadas,2
beberla,2
bello,2
bendecida,2
besame,2
besito,2
blanca,2
bolachas,2
bombón,2
botarate,2
botines,2
bozal,2
brillarte,2
brillo,2
brindaste,2
brotan,2
brotará,2
buenas,2
bullidor,2
buris,2
buscar,2
cabal,2
cachuelas,2
caimán,2
cajita,2
cajoncito,2
cajón,2
calle,2
calor,2
calzones,2
caminaré,2
caminas,2
caminito,2
camote,2
campanilla,2
campos,2
cantante,2
cantarle,2
cantas,2
cantorcita,2
capataz,2
capilla,2
carajo,2
caras,2
cardón,2
cargara,2
carne,2
carretón,2
casarnos,2
caso,2
cause,2
cautivado,2
celosa,2
celosas,2
celoso,2
cenicita,2
cepa,2
certero,2
cerveza,2
cesarán,2
chachada,2
chachadita,2
chacra,2
chancleta,2
chaymanta,2
chaypis,2
chendive,2
chep,2
chicha,2
chichita,2
chiquitana,2
chit'i,2
chiti,2
chiwankituy,2
chiwanku,2
choca,2
choclo,2
chola,2
cholitas,2
chovena,2
chu,2
churro,2
chuspa,2
chuwa,2
cierto,2
cigarrito,2
cintura,2
citoyas,2
clavel,2
claveles,2
cochino,2
cogerá,2
colectivo,2
colegio,2
colibrí,2
colita,2
collerita,2
colonial,2
colorada,2
colorao,2
come,2
comer,2
comercio,2
comido,2
comparte,2
compartiendo,2
compasión,2
compañera,2
compañero,2
compás,2
concedido,2
confesar,2
confiaba,2
confundirme,2
confía,2
congojas,2
conozco,2
conseguir,2
conserva,2
consigo,2
contemplo,2
contento,2
contestaré,2
controlar,2
coplas,2
copleando,2
coqueteando,2
corazon,2
correrán,2
correspondía,2
corteja,2
cortita,2
cosas,2
cosechar,2
costaba,2
crecer,2
crecerán,2
crecido,2
crees,2
creyendo,2
cruceña,2
cruceño,2
cruzaremos,2
cuales,2
cuarta,2
cuatro,2
cuerdas,2
cuestas,2
cueste,2
cuido,2
cullawa,2
cultura,2
cumplido,2
cuna,2
cunumicita,2
cura,2
cures,2
curucusí,2
curó,2
cuándo,2
cuñita,2
cuñitas,2
cállate,2
dabas,2
danzarín,2
dao,2
darte,2
das,2
decides,2
decirme,2
decía,2
dejan,2
dejar,2
dejaré,2
delicada,2
delicias,2
derrames,2
desafinadas,2
descalzos,2
descubierto,2
desdichada,2
desdén,2
desecho,2
desengaño,2
desengaños,2
desesperación,2
desesperanza,2
deshojada,2
deshoje,2
desilusión,2
desmentido,2
desnudo,2
desnutrido,2
desolación,2
despertar,2
despertaron,2
detrás,2
dichosas,2
diga,2
digno,2
dije,2
dile,2
directo,2
dirá,2
disfruta,2
disfrutaría,2
disipaban,2
disparate,2
divertirme,2
divierto,2
divina,2
divinas,2
doler,2
dominar,2
doradas,2
dormida,2
dormías,2
duela,2
duerme,2
duermo,2
dura,2
durazno,2
duro,2
dándole,2
eje,2
ejemplo,2
embruja,2
emecheve,2
emisaria,2
emociones,2
empalagoso,2
empanizau,2
empelete,2
empezando,2
empezar,2
enamora,2
enamorados,2
enamorarse,2
encadenado,2
encantos,2
encargo,2
encender,2
encendida,2
encontraré,2
enfermar,2
enfermedad,2
engañadores,2
enloquecido,2
enojas,2
enseñaron,2
ensueño,2
entender,2
entendería,2
entero,2
enterrado,2
entiendes,2
entiendo,2
entierren,2
equivocó,2
error,2
escapar,2
escarcela,2
esclavo,2
escondida,2
escrita,2
escándalo,2
esmero,2
espantando,2
esperando,2
esperanzas,2
espinas,2
espumosas,2
estimamos,2
estirpe,2
estival,2
eterna,2
extraños,2
falla,2
fallado,2
faltamos,2
faltar,2
fama,2
famoso,2
farra,2
farsante,2
fastidioso,2
fechas,2
festejar,2
fiel,2
fijos,2
fino,2
firmamento,2
flaca,2
flaco,2
flautita,2
flautitas,2
florecer,2
fogonero,2
formar,2
francisco,2
fruta,2
frías,2
fuente,2
fugaz,2
fumar,2
fundirte,2
fuslero,2
futuro,2
fácil,2
galopar,2
ganar,2
gato,2
gaviotas,2
generosidad,2
gime,2
gira,2
giras,2
gloriosa,2
golpes,2
goma,2
gonzalo,2
gorda,2
gordito,2
gozaré,2
grabada,2
grandeza,2
gris,2
gritando,2
grito,2
grité,2
guapa,2
guardaba,2
guardar,2
guardas,2
gusanos,2
gustan,2
haberme,2
habilidad,2
hablarme,2
hablarte,2
hacete,2
hacia,2
haciendo,2
halagos,2
hallaba,2
hallarás,2
hallé,2
hambre,2
hermanita,2
hermosas,2
hervida,2
hiciste,2
hieren,2
hilos,2
hipo,2
hondas,2
horizonte,2
horizontes,2
horror,2
huanki,2
huayños,2
huesos,2
hundía,2
ignorados,2
igualingo,2
imagen,2
imaginado,2
imanaykitaq,2
imperial,2
imposible,2
incesante,2
incitan,2
indio,2
inocente,2
insistir,2
insomnio,2
inspirando,2
instante,2
intentar,2
inti,2
invierno,2
invita,2
irme,2
irse,2
iya,2
jaguar,2
jajay,2
jallp'a,2
jaral,2
jardinero,2
jardines,2
jare,2
jarrón,2
jaula,2
jazmines,2
jeta,2
jinata,2
joder,2
juana,2
jugaba,2
jugaste,2
juntar,2
juramento,2
justo,2
juventud,2
kani,2
kantuta,2
kapuwanchu,2
kawsakuni,2
kawsakusaq,2
kawsaspari,2
kawsay,2
kawsaywan,2
kayari,2
kaymanta,2
khuyay,2
kusirikunachis,2
kuña,2
kuñatai,2
ladrona,2
laguna,2
lagunas,2
lalala,2
lar,2
laralayla,2
laray,2
larga,2
largo,2
lastimado,2
lastimar,2
latidos,2
lau,2
leal,2
lección,2
leche,2
lengua,2
lento,2
letras,2
libra,2
liguerita,2
limosna,2
limpia,2
listinga,2
llajta,2
llajtaymanta,2
llakisqata,2
llamaba,2
llamen,2
llamo,2
llank'ayninchiswan,2
llanos,2
llego,2
llegue,2
llevarme,2
llevarán,2
lleven,2
llinphuyllapuni,2
llogalla,2
llogallito,2
lloraría,2
lloras,2
lloviéndome,2
locas,2
logro,2
lololo,2
lololoi,2
loyola,2
luego,2
machadita,2
madrugada,2
maizal,2
malagüero,2
mallku,2
mamayki,2
mamayqi,2
mandinga,2
manteca,2
mapita,2
marca,2
marcharse,2
marchita,2
marchitaban,2
marchitan,2
marchitas,2
marchitó,2
mares,2
marido,2
mariposa,2
martirio,2
maskapusuj,2
masuma,2
matando,2
mataron,2
mates,2
matinal,2
maykunata,2
mayukunanchis,2
mañanita,2
mañudo,2
meció,2
medalla,2
media,2
medio,2
mejillas,2
melodías,2
meloso,2
memoria,2
merced,2
mese,2
meses,2
metes,2
metieron,2
metro,2
mezclada,2
millay,2
mineromanta,2
miradas,2
mirao,2
mire,2
miserable,2
misk'ipuni,2
miski,2
mismas,2
mismito,2
misterios,2
mocola,2
mojada,2
mojau,2
mojón,2
montado,2
moscas,2
mostrando,2
moto,2
motor,2
muchacho,2
muda,2
muera,2
mueren,2
muertos,2
mujeriego,2
multicolor,2
munasqay,2
munaykipullaykitaq,2
murió,2
muyurispa,2
muévete,2
márchate,2
mátame,2
méndez,2
nacer,2
nacimiento,2
nacimos,2
nadar,2
navidad,2
navidadman,2
ndive,2
necesitas,2
negrero,2
nengarajchu,2
nidito,2
niego,2
niwanqachari,2
niyki,2
nombra,2
nombrar,2
noqataqa,2
notas,2
novia,2
ocultado,2
odian,2
odiar,2
ofrecer,2
ojasos,2
ollas,2
oloy,2
olvidará,2
olvidarías,2
olviden,2
olvidé,2
olvídate,2
ondas,2
onqoy,2
opuestas,2
orden,2
orgullosa,2
orillas,2
orina,2
orinar,2
oro,2
oveja,2
p'achallarikuspa,2
pagas,2
pahuichi,2
paisaje,2
paitití,2
paja,2
pallasqayta,2
palquiceñito,2
palquiceño,2
pampas,2
pan,2
panal,2
pancito,2
panteón,2
papaya,2
paraos,2
pararon,2
paredes,2
parejo,2
parir,2
parral,2
pasajeras,2
pasamos,2
pasatiempo,2
pasear,2
pasó,2
patea,2
pateando,2
patronal,2
patrón,2
paz,2
pechí,2
peculiar,2
pedacito,2
pedazos,2
pedido,2
pedir,2
pedirlo,2
pegado,2
pelado,2
pensaba,2
pensabas,2
pensau,2
pepa,2
perdedor,2
perderá,2
perdidas,2
perdidos,2
perdió,2
perdure,2
perfumada,2
perfuman,2
perfumando,2
persigo,2
persigue,2
personas,2
perturbe,2
pesares,2
pescuezo,2
piadosas,2
picaflor,2
picante,2
pides,2
pidiendo,2
pienso,2
pierde,2
pierden,2
pierdes,2
pierdo,2
pilla,2
pintada,2
pisando,2
pisaremos,2
plantar,2
plaza,2
poca,2
pochi,2
podrías,2
poeta,2
pollo,2
polvito,2
pone,2
pones,2
popular,2
porqué,2
posarse,2
potito,2
preciso,2
predestinado,2
prefiere,2
preguntas,2
presumiendo,2
primera,2
primeros,2
probar,2
produzca,2
prometiste,2
protege,2
protesté,2
